file||src||doc_id||subdoc_id||texttype||balanced||src_file_or_url||words||chars||sentences
estonian_nc17.vert.01||NC||277||30453||periodicals||_||aja_EPL_2002_10_25.ma||288||1704||21
estonian_nc17.vert.01||NC||277||30454||periodicals||_||aja_EPL_2002_10_25.ma||68||474||6
estonian_nc17.vert.01||NC||277||30455||periodicals||_||aja_EPL_2002_10_25.ma||105||740||8
estonian_nc17.vert.01||NC||277||30456||periodicals||_||aja_EPL_2002_10_25.ma||117||810||7
estonian_nc17.vert.01||NC||277||30457||periodicals||_||aja_EPL_2002_10_25.ma||275||2114||14
estonian_nc17.vert.01||NC||277||30458||periodicals||_||aja_EPL_2002_10_25.ma||139||905||8
estonian_nc17.vert.01||NC||277||30459||periodicals||_||aja_EPL_2002_10_25.ma||113||853||7
estonian_nc17.vert.01||NC||277||30460||periodicals||_||aja_EPL_2002_10_25.ma||242||1415||20
estonian_nc17.vert.01||NC||277||30461||periodicals||_||aja_EPL_2002_10_25.ma||589||3389||48
estonian_nc17.vert.01||NC||277||30462||periodicals||_||aja_EPL_2002_10_25.ma||200||1419||10
estonian_nc17.vert.01||NC||277||30463||periodicals||_||aja_EPL_2002_10_25.ma||387||2456||24
estonian_nc17.vert.01||NC||277||30464||periodicals||_||aja_EPL_2002_10_25.ma||175||1055||10
estonian_nc17.vert.01||NC||277||30465||periodicals||_||aja_EPL_2002_10_25.ma||282||1855||16
estonian_nc17.vert.01||NC||277||30466||periodicals||_||aja_EPL_2002_10_25.ma||428||2761||26
estonian_nc17.vert.01||NC||277||30467||periodicals||_||aja_EPL_2002_10_25.ma||423||2946||31
estonian_nc17.vert.01||NC||277||30468||periodicals||_||aja_EPL_2002_10_25.ma||163||973||8
estonian_nc17.vert.01||NC||277||30469||periodicals||_||aja_EPL_2002_10_25.ma||402||2726||21
estonian_nc17.vert.01||NC||277||30470||periodicals||_||aja_EPL_2002_10_25.ma||57||510||5
estonian_nc17.vert.01||NC||277||30471||periodicals||_||aja_EPL_2002_10_25.ma||116||807||9
estonian_nc17.vert.01||NC||277||30472||periodicals||_||aja_EPL_2002_10_25.ma||396||2668||20
estonian_nc17.vert.01||NC||277||30473||periodicals||_||aja_EPL_2002_10_25.ma||90||689||6
estonian_nc17.vert.01||NC||277||30474||periodicals||_||aja_EPL_2002_10_25.ma||529||3202||27
estonian_nc17.vert.01||NC||277||30475||periodicals||_||aja_EPL_2002_10_25.ma||283||1836||14
estonian_nc17.vert.01||NC||277||30476||periodicals||_||aja_EPL_2002_10_25.ma||296||1894||24
estonian_nc17.vert.01||NC||277||30477||periodicals||_||aja_EPL_2002_10_25.ma||378||2282||22
estonian_nc17.vert.01||NC||277||30478||periodicals||_||aja_EPL_2002_10_25.ma||60||373||5
estonian_nc17.vert.01||NC||277||30479||periodicals||_||aja_EPL_2002_10_25.ma||332||2123||22
estonian_nc17.vert.01||NC||277||30480||periodicals||_||aja_EPL_2002_10_25.ma||81||611||5
estonian_nc17.vert.01||NC||277||30481||periodicals||_||aja_EPL_2002_10_25.ma||176||1265||10
estonian_nc17.vert.01||NC||277||30482||periodicals||_||aja_EPL_2002_10_25.ma||102||842||7
estonian_nc17.vert.01||NC||277||30483||periodicals||_||aja_EPL_2002_10_25.ma||114||935||10
estonian_nc17.vert.01||NC||277||30484||periodicals||_||aja_EPL_2002_10_25.ma||290||1819||16
estonian_nc17.vert.01||NC||277||30485||periodicals||_||aja_EPL_2002_10_25.ma||111||892||5
estonian_nc17.vert.01||NC||277||30486||periodicals||_||aja_EPL_2002_10_25.ma||104||853||6
estonian_nc17.vert.01||NC||277||30487||periodicals||_||aja_EPL_2002_10_25.ma||201||1312||13
estonian_nc17.vert.01||NC||277||30488||periodicals||_||aja_EPL_2002_10_25.ma||331||2675||33
estonian_nc17.vert.01||NC||277||30489||periodicals||_||aja_EPL_2002_10_25.ma||1507||12114||14
estonian_nc17.vert.01||NC||277||30490||periodicals||_||aja_EPL_2002_10_25.ma||78||625||5
estonian_nc17.vert.01||NC||277||30491||periodicals||_||aja_EPL_2002_10_25.ma||83||619||7
estonian_nc17.vert.01||NC||277||30492||periodicals||_||aja_EPL_2002_10_25.ma||210||1497||10
estonian_nc17.vert.01||NC||277||30493||periodicals||_||aja_EPL_2002_10_25.ma||161||1097||12
estonian_nc17.vert.01||NC||277||30494||periodicals||_||aja_EPL_2002_10_25.ma||130||950||7
estonian_nc17.vert.01||NC||277||30495||periodicals||_||aja_EPL_2002_10_25.ma||192||1476||11
estonian_nc17.vert.01||NC||277||30496||periodicals||_||aja_EPL_2002_10_25.ma||407||2727||23
estonian_nc17.vert.01||NC||277||30497||periodicals||_||aja_EPL_2002_10_25.ma||684||4199||35
estonian_nc17.vert.01||NC||277||30498||periodicals||_||aja_EPL_2002_10_25.ma||312||2048||18
estonian_nc17.vert.01||NC||277||30499||periodicals||_||aja_EPL_2002_10_25.ma||99||738||5
estonian_nc17.vert.01||NC||277||30500||periodicals||_||aja_EPL_2002_10_25.ma||280||1905||17
